Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
Mokotów,dom na sprzedaż 489m2,9 900 000 zł,"488,50 
m
2","0,0859 
ha",24,"20 266 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-488m2/153832788
Bemowo,dom na sprzedaż 550m2,5 000 000 zł,"550 
m
2","0,1000 
ha",6,"9 091 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-550m2/153826180
"Wawer, Przełęczy",dom na sprzedaż 270m2,1 800 000 zł,"270 
m
2","0,2003 
ha",8,"6 667 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-przeleczy-270m2/155468696
"Ursynów, Baletowa",dom na sprzedaż 804m2,9 900 000 zł,"804 
m
2","0,3200 
ha",10,"12 313 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-baletowa-804m2/155717102
"Ursynów, Grabów",dom na sprzedaż 127m2,1 250 000 zł,"127 
m
2","0,0224 
ha",5,"9 843 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-127m2/155669887
"Mokotów Górny, Aleja Wilanowska",dom na sprzedaż 450m2,4 550 000 zł,"450 
m
2","0,1017 
ha",12,"10 111 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-gorny-aleja-wilanowska-450m2/155698703
Wawer,dom na sprzedaż 168m2,1 490 000 zł,"168,40 
m
2","0,0320 
ha",6,"8 848 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-168m2/155698644
Żoliborz,dom na sprzedaż 246m2,3 822 000 zł,"246 
m
2","0,0480 
ha",6,"15 537 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-zoliborz-246m2/155502169
Mozaikowa,dom na sprzedaż 185m2,1 759 000 zł,"185 
m
2","0,0290 
ha",4,"9 508 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mozaikowa-185m2/155037166
"Wawer, Wał Miedzeszyński",dom na sprzedaż 180m2,1 450 000 zł,"180 
m
2","0,0400 
ha",6,"8 056 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-wal-miedzeszynski-180m2/154789717
"Białołęka, Kamykowa",dom na sprzedaż 200m2,2 700 000 zł,"200 
m
2","0,0700 
ha",5,"13 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-kamykowa-200m2/155190909
"Rembertów, Izdebnicka",dom na sprzedaż 245m2,1 980 000 zł,"245 
m
2","0,0714 
ha",6,"8 082 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-rembertow-izdebnicka-245m2/155673285
"Ursynów, Pyry",dom na sprzedaż 535m2,2 499 000 zł,"535 
m
2","0,0746 
ha",8,"4 671 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-535m2/155668856
"Wawer, Anin",dom na sprzedaż 599m2,3 500 000 zł,"599 
m
2","0,1520 
ha",8,"5 843 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-599m2/155528286
Wilanów,dom na sprzedaż 475m2,5 480 000 zł,"475 
m
2","0,1000 
ha",10,"11 537 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-475m2/155049866
"Wilanów, Wilanów, Stary Wilanów",dom na sprzedaż 300m2,4 600 000 zł,"300 
m
2","0,1000 
ha",6,"15 333 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-stary-wilanow-300m2/155193851
Wawer,dom na sprzedaż 300m2,2 000 000 zł,"300 
m
2","0,0620 
ha",5,"6 667 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-300m2/155422113
"Wesoła, Stara Miłosna",dom na sprzedaż 332m2,1 930 000 zł,"332 
m
2","0,0188 
ha",6,"5 813 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-332m2/155115918
Bemowo,dom na sprzedaż 180m2,1 850 000 zł,"180 
m
2","0,0536 
ha",4,"10 278 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-180m2/154843482
"Wilanów, Powsinek",dom na sprzedaż 485m2,4 900 000 zł,"485 
m
2","0,1530 
ha",7,"10 103 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-485m2/151417273
"Mokotów Sadyba, Koronowska",dom na sprzedaż 170m2,2 790 000 zł,"170 
m
2","0,0220 
ha",5,"16 412 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-koronowska-170m2/155556838
Ursynów Grabów,dom na sprzedaż 330m2,2 900 000 zł,"330 
m
2","0,1000 
ha",9,"8 788 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-grabow-330m2/153729487
"Ursynów, Baletowa",dom na sprzedaż 804m2,9 900 000 zł,"804 
m
2","0,3200 
ha",10,"12 313 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-baletowa-804m2/153067812
Wilanów,dom na sprzedaż 300m2,3 250 000 zł,"300 
m
2","0,0350 
ha",6,"10 833 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-300m2/154900809
"Praga-Południe, Saska Kępa",dom na sprzedaż 295m2,2 790 000 zł,"295 
m
2","0,0405 
ha",6,"9 458 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-295m2/155665059
"Wawer, Las, Henryka Łasaka",dom na sprzedaż 112m2,1 340 000 zł,"112,23 
m
2","0,0044 
ha",6,"11 940 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-henryka-lasaka-112m2/155701813
"Wilanów, Zawady",dom na sprzedaż 229m2,2 599 000 zł,"229 
m
2","0,0600 
ha",6,"11 349 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-229m2/155382131
"Wawer, Kombajnistów",dom na sprzedaż 211m2,1 520 000 zł,"210,89 
m
2","0,0478 
ha",8,"7 208 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-kombajnistow-211m2/155549123
"Wawer, Kombajnistów",dom na sprzedaż 422m2,2 920 000 zł,"421,78 
m
2","0,0820 
ha",16,"6 923 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-kombajnistow-422m2/155540055
"Wawer, Kombajnistów",dom na sprzedaż 211m2,1 400 000 zł,"210,89 
m
2","0,0342 
ha",8,"6 639 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-kombajnistow-211m2/155555032
"dom Pyry, Pyry",dom na sprzedaż 440m2,1 520 000 zł,"440 
m
2","0,1500 
ha",5,"3 455 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-pyry-pyry-440m2/125032262
"Bielany, Wólka Węglowa, ul. Loteryjki 65",dom na sprzedaż 147m2,1 675 900 zł,"147 
m
2","0,0245 
ha",6,"11 401 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-ul-loteryjki-65-147m2/155693407
Białołęka,dom na sprzedaż 568m2,4 900 000 zł,"568 
m
2","0,0910 
ha",11,"8 627 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-568m2/155458373
"Białołęka, Wiśniewo",dom na sprzedaż 300m2,2 650 000 zł,"300 
m
2","0,2800 
ha",5,"8 833 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-300m2/149279965
"Mokotów Stary Mokotów, Rakowiecka",dom na sprzedaż 1738m2,18 600 000 zł,"1737,52 
m
2","0,1090 
ha",18,"10 705 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-stary-mokotow-rakowiecka-1738m2/155015040
Wawer,dom na sprzedaż 158m2,966 000 zł,"158 
m
2","0,1380 
ha",5,"6 114 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-158m2/155639518
Wawer,dom na sprzedaż 152m2,1 250 000 zł,"152 
m
2","0,0260 
ha",4,"8 224 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-152m2/155638656
"Ursynów, Pyry",dom na sprzedaż 360m2,3 750 000 zł,"360 
m
2","0,1419 
ha",6,"10 417 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-360m2/155676791
"Wilanów, Wilanów, Chorągwi Pancernej",dom na sprzedaż 680m2,4 300 000 zł,"680 
m
2","0,0381 
ha",15,"6 324 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-choragwi-pancernej-680m2/154841087
Bielany,dom na sprzedaż 92m2,2 500 000 zł,"92 
m
2","0,0329 
ha",3,"27 174 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-92m2/153957989
Bielany,dom na sprzedaż 220m2,3 000 000 zł,"220 
m
2","0,0329 
ha",4,"13 636 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-220m2/153957988
Białołęka,dom na sprzedaż 120m2,1 880 000 zł,"120 
m
2","0,0200 
ha",5,"15 667 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-120m2/155476330
Wilanów,dom na sprzedaż 376m2,3 300 000 zł,"376 
m
2","0,0410 
ha",5,"8 777 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-376m2/154009451
"Wawer, Aleksandry Śląskiej",dom na sprzedaż 257m2,2 951 000 zł,"257,42 
m
2","0,1369 
ha",6,"11 464 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-aleksandry-slaskiej-257m2/155657965
Mokotów Królikarnia,dom na sprzedaż 200m2,4 430 000 zł,"200 
m
2","0,0500 
ha",5,"22 150 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-krolikarnia-200m2/155447190
"Wawer, Radość, Izerska",dom na sprzedaż 203m2,2 599 000 zł,"203 
m
2","0,1114 
ha",7,"12 803 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-izerska-203m2/155631734
"Białołęka, Modlińska",dom na sprzedaż 120m2,1 350 000 zł,"120 
m
2","0,0831 
ha",4,"11 250 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-modlinska-120m2/155651957
Wilanów,dom na sprzedaż 263m2,3 800 000 zł,"263,30 
m
2","0,2100 
ha",6,"14 432 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-263m2/155546912
Wawer,dom na sprzedaż 180m2,1 350 000 zł,"180 
m
2","0,0400 
ha",5,"7 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-180m2/154781052
Wilanów Zawady,dom na sprzedaż 808m2,9 290 000 zł,"807,90 
m
2","0,1118 
ha",7,"11 499 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-808m2/155593457
"Wilanów Zawady, Bruzdowa",dom na sprzedaż 240m2,2 760 000 zł,"239,90 
m
2","0,0304 
ha",6,"11 505 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-bruzdowa-240m2/155593458
Wilanów Zawady,dom na sprzedaż 282m2,3 240 000 zł,"282 
m
2","0,0386 
ha",7,"11 489 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-282m2/155593455
Wilanów,dom na sprzedaż 286m2,3 290 000 zł,"286 
m
2","0,0428 
ha",7,"11 503 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-286m2/155593456
Mokotów Sadyba,dom na sprzedaż 340m2,3 600 000 zł,"340 
m
2","0,0250 
ha",6,"10 588 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-340m2/155416017
Wilanów,dom na sprzedaż 372m2,8 700 000 zł,"372 
m
2","0,1662 
ha",7,"23 387 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-372m2/155552198
Wilanów,dom na sprzedaż 415m2,4 000 000 zł,"415 
m
2","0,0745 
ha",6,"9 639 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-415m2/151356599
Wawer,dom na sprzedaż 232m2,3 750 000 zł,"231,72 
m
2","0,1365 
ha",6,"16 183 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-232m2/155334557
"Wawer, Sęczkowa",dom na sprzedaż 104m2,1 507 565 zł,"103,97 
m
2","0,0101 
ha",4,"14 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-seczkowa-104m2/155530178
Wesoła,dom na sprzedaż 313m2,1 869 000 zł,"313 
m
2","0,0548 
ha",5,"5 971 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-313m2/155453187
"Wesoła Stara Miłosna, Trakt Brzeski",dom na sprzedaż 700m2,1 090 000 zł,"700 
m
2","0,0235 
ha",6,"1 557 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-stara-milosna-trakt-brzeski-700m2/155567184
Białołęka,dom na sprzedaż 135m2,1 680 000 zł,"135 
m
2","0,0160 
ha",6,"12 444 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-135m2/155458319
Dąbrówka,dom na sprzedaż 189m2,2 200 000 zł,"189 
m
2","0,0227 
ha",5,"11 640 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-dabrowka-189m2/155626061
"Ursynów, Dąbrówka",dom na sprzedaż 250m2,2 800 000 zł,"250 
m
2","0,2412 
ha",7,"11 200 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-250m2/155553362
"Ursynów, Grabówek",dom na sprzedaż 490m2,4 000 000 zł,"490 
m
2","0,1013 
ha",9,"8 163 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-490m2/155567265
Wawer,dom na sprzedaż 170m2,1 599 000 zł,"170 
m
2","0,0400 
ha",5,"9 406 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-170m2/155463606
"Wawer, Sęczkowa",dom na sprzedaż 104m2,1 549 153 zł,"103,97 
m
2","0,0123 
ha",4,"14 900 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-seczkowa-104m2/154978030
"Włochy, Raków, Fajansowa",dom na sprzedaż 85m2,1 690 000 zł,"85 
m
2","0,0362 
ha",3,"19 882 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-fajansowa-85m2/155390900
Wilanów Powsin,dom na sprzedaż 320m2,3 000 000 zł,"320 
m
2","0,1050 
ha",6,"9 375 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-powsin-320m2/155305324
Wawer,dom na sprzedaż 200m2,2 200 000 zł,"200 
m
2","0,0336 
ha",5,"11 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-200m2/155518689
"Ursynów, Pyry",dom na sprzedaż 148m2,1 590 000 zł,"148 
m
2","0,0622 
ha",4,"10 743 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-148m2/155390382
"Mokotów, Jarosława Dąbrowskiego",dom na sprzedaż 595m2,17 000 000 zł,"595 
m
2","0,0780 
ha",7,"28 571 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-jaroslawa-dabrowskiego-595m2/155416218
"Białołęka, Choszczówka",dom na sprzedaż 300m2,2 150 000 zł,"300 
m
2","0,0830 
ha",8,"7 167 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-300m2/155463048
"Mokotów, Służew, Rolna",dom na sprzedaż 215m2,3 000 000 zł,"215 
m
2","0,0450 
ha",5,"13 953 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-rolna-215m2/155425876
Wilanów,dom na sprzedaż 250m2,4 100 000 zł,"250 
m
2","0,0490 
ha",6,"16 400 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-250m2/155113875
Bemowo Bemowo-Lotnisko,dom na sprzedaż 440m2,2 500 000 zł,"440 
m
2","0,0251 
ha",6,"5 682 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-bemowo-lotnisko-440m2/155513738
Wawer,dom na sprzedaż 290m2,2 899 000 zł,"290 
m
2","0,1593 
ha",5,"9 997 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-290m2/153707259
Wilanów,dom na sprzedaż 248m2,2 590 000 zł,"248 
m
2","0,0208 
ha",6,"10 444 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-248m2/150316811
"Mokotów, Służew",dom na sprzedaż 377m2,3 890 000 zł,"377 
m
2","0,0513 
ha",7,"10 318 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-377m2/155401747
"Wilanów, Zawady, Syta",dom na sprzedaż 228m2,2 399 000 zł,"228 
m
2","0,0459 
ha",6,"10 522 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-syta-228m2/155489634
"Włochy, Okęcie",dom na sprzedaż 600m2,4 900 000 zł,"600 
m
2","0,0444 
ha",N/A,"8 167 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-600m2/155475686
Wawer,dom na sprzedaż 201m2,2 590 000 zł,"201 
m
2","0,0890 
ha",5,"12 886 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-201m2/155470522
Żoliborz,dom na sprzedaż 277m2,6 900 000 zł,"277,40 
m
2","0,0386 
ha",7,"24 874 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-zoliborz-277m2/155437231
"Białołęka, Boczańska",dom na sprzedaż 396m2,2 290 000 zł,"396 
m
2","0,1100 
ha",8,"5 783 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-boczanska-396m2/152775251
"Praga-Południe, Saska Kępa, Ateńska",dom na sprzedaż 647m2,5 390 000 zł,"647 
m
2","0,0721 
ha",14,"8 331 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-atenska-647m2/155362086
Ursus,dom na sprzedaż 400m2,4 500 000 zł,"400 
m
2","0,0763 
ha",20,"11 250 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursus-400m2/154976010
Bielany,dom na sprzedaż 385m2,5 500 000 zł,"385 
m
2","0,0330 
ha",7,"14 286 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-385m2/153826174
Wilanów,dom na sprzedaż 320m2,2 250 000 zł,"320 
m
2","0,0200 
ha",5,"7 031 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-320m2/155130643
Ursynów,dom na sprzedaż 236m2,2 198 000 zł,"235,72 
m
2","0,1532 
ha",5,"9 325 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-236m2/155055413
Wesoła,dom na sprzedaż 170m2,2 050 000 zł,"170 
m
2","0,0860 
ha",5,"12 059 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-170m2/150708152
Mokotów,dom na sprzedaż 180m2,2 800 000 zł,"180 
m
2","0,0400 
ha",6,"15 556 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-180m2/154898401
"Mokotów, Przejazd",dom na sprzedaż 272m2,9 500 000 zł,"272 
m
2","0,0348 
ha",6,"34 926 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-przejazd-272m2/155152625
"Rembertów, Chełmżyńska",dom na sprzedaż 963m2,5 000 000 zł,"962,91 
m
2","0,1110 
ha",32,"5 193 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-rembertow-chelmzynska-963m2/153643003
"Wawer, Mrągowska",dom na sprzedaż 125m2,1 739 000 zł,"125,20 
m
2","0,0181 
ha",5,"13 890 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-mragowska-125m2/153582405
"Wawer, Międzylesie",dom na sprzedaż 437m2,4 776 000 zł,"437 
m
2","0,1340 
ha",10,"10 929 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-437m2/154731976
Wawer,dom na sprzedaż 600m2,4 900 000 zł,"600 
m
2","0,2600 
ha",8,"8 167 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-600m2/154162535
"Ursynów, Puławska",dom na sprzedaż 1200m2,12 000 000 zł,"1200 
m
2","0,1500 
ha",22,"10 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-pulawska-1200m2/155144920
"Rembertów, Stary Rembertów, Roty",dom na sprzedaż 260m2,1 750 000 zł,"260 
m
2","0,0675 
ha",6,"6 731 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-rembertow-roty-260m2/154414509
Wilanów,dom na sprzedaż 730m2,5 960 000 zł,"730 
m
2","0,0880 
ha",8,"8 164 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-730m2/154208541
"Mokotów, Wołoska",dom na sprzedaż 422m2,2 900 000 zł,"422 
m
2","0,0230 
ha",6,"6 872 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-woloska-422m2/153776674
Ursynów,dom na sprzedaż 280m2,2 200 000 zł,"280 
m
2","0,0636 
ha",6,"7 857 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-280m2/153707292
"Wilanów, Syta",dom na sprzedaż 230m2,1 999 999 zł,"230 
m
2","0,0380 
ha",8,"8 696 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-syta-230m2/153687479
Ursynów,dom na sprzedaż 560m2,4 000 000 zł,"560 
m
2","0,1271 
ha",12,"7 143 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-560m2/153680379
Targówek,dom na sprzedaż 510m2,4 295 000 zł,"510 
m
2","0,1000 
ha",10,"8 422 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-targowek-510m2/151557203
Ursynów,dom na sprzedaż 450m2,2 600 000 zł,"450 
m
2","0,0876 
ha",25,"5 778 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-450m2/150318343
Białołęka,dom na sprzedaż 568m2,4 500 000 zł,"568 
m
2","0,0910 
ha",10,"7 923 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-568m2/150315913
"Wilanów, Królewicza Jakuba",dom na sprzedaż 440m2,2 700 000 zł,"440 
m
2","0,0440 
ha",5,"6 136 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-krolewicza-jakuba-440m2/150283189
"Rembertów, Stary Rembertów, Roty",dom na sprzedaż 260m2,1 750 000 zł,"260 
m
2","0,0675 
ha",6,"6 731 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-rembertow-roty-260m2/154414524
"Białołęka, Nieporęt, Nad Kanałem Królewskim",dom na sprzedaż 250m2,1 195 000 zł,"250 
m
2","0,0690 
ha",6,"4 780 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-nad-kanalem-krolewskim-250m2/153253703
Wilanów,dom na sprzedaż 217m2,4 950 000 zł,"217 
m
2","0,0500 
ha",5,"22 811 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-217m2/154314727
Ursynów,dom na sprzedaż 216m2,1 490 000 zł,"216 
m
2","0,0340 
ha",6,"6 898 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-216m2/154610038
Ursynów,dom na sprzedaż 216m2,1 490 000 zł,"216 
m
2","0,0340 
ha",6,"6 898 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-216m2/154610037
Wilanów,dom na sprzedaż 248m2,2 400 000 zł,"248 
m
2","0,0744 
ha",5,"9 677 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-248m2/154754900
Wilanów,dom na sprzedaż 252m2,2 800 000 zł,"252 
m
2","0,0744 
ha",5,"11 111 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-252m2/154743930
Wawer,dom na sprzedaż 140m2,1 680 000 zł,"140 
m
2","0,0218 
ha",5,"12 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-140m2/154660025
Wilanów,dom na sprzedaż 256m2,5 750 000 zł,"256 
m
2","0,0500 
ha",5,"22 461 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-256m2/154633107
Wawer Julianów,dom na sprzedaż 210m2,1 470 000 zł,"210 
m
2","0,0360 
ha",5,"7 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-julianow-210m2/153186998
Wawer,dom na sprzedaż 860m2,11 950 000 zł,"860 
m
2","0,5600 
ha",10,"13 895 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-860m2/151560748
Wilanów,dom na sprzedaż 400m2,5 500 000 zł,"400 
m
2","0,1470 
ha",6,"13 750 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-400m2/154788036
Włochy,dom na sprzedaż 650m2,5 500 000 zł,"650 
m
2","0,0893 
ha",0,"8 462 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-650m2/149487556
Włochy,dom na sprzedaż 325m2,2 400 000 zł,"325 
m
2","0,0450 
ha",0,"7 385 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-325m2/149487555
