Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
"Bemowo, Kazimierza Siemienowicza",dom na sprzedaż 170m2,1 850 000 zł,"170 
m
2","0,0536 
ha",4,"10 882 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-kazimierza-siemienowicza-170m2/155518331
Targówek Zacisze,dom na sprzedaż 100m2,1 800 000 zł,"100 
m
2","0,0625 
ha",3,"18 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-targowek-zacisze-100m2/155515082
Bemowo,dom na sprzedaż 392m2,2 398 000 zł,"391,50 
m
2","0,0730 
ha",17,"6 125 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-392m2/155513979
"Bielany, NOWA INWESTYCJA",dom na sprzedaż 125m2,920 000 zł,"125,14 
m
2","0,0400 
ha",4,"7 352 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-nowa-inwestycja-125m2/155513146
Ursynów,dom na sprzedaż 255m2,2 999 000 zł,"255 
m
2","0,0140 
ha",11,"11 761 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-255m2/155509781
"Wilanów, Powsin",dom na sprzedaż 434m2,3 380 000 zł,"434 
m
2","0,0980 
ha",10,"7 788 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-434m2/155509083
"Wilanów, Powsin, Korbońskiego",dom na sprzedaż 240m2,4 000 000 zł,"240 
m
2","0,0783 
ha",5,"16 667 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-korbonskiego-240m2/155507792
"Ursynów, Kabaty, Korbońskiego",dom na sprzedaż 240m2,4 000 000 zł,"240 
m
2","0,0783 
ha",5,"16 667 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-korbonskiego-240m2/155507791
Wilanów,dom na sprzedaż 680m2,4 300 000 zł,"680 
m
2","0,0380 
ha",16,"6 324 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-680m2/155507317
"Wilanów, Wilanów, Rumiana",dom na sprzedaż 240m2,2 990 000 zł,"240 
m
2","0,0568 
ha",6,"12 458 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-wilanow-rumiana-240m2/155506180
Wawer Las,dom na sprzedaż 225m2,1 470 000 zł,"225 
m
2","0,0253 
ha",5,"6 533 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-las-225m2/155504766
Wilanów,dom na sprzedaż 365m2,3 800 000 zł,"365 
m
2","0,0880 
ha",6,"10 411 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-365m2/155503389
"Wawer, Falenica, Walcownicza",dom na sprzedaż 330m2,1 980 000 zł,"330 
m
2","0,0897 
ha",6,"6 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-walcownicza-330m2/155498011
Wilanów,dom na sprzedaż 1100m2,20 000 000 zł,"1100 
m
2","0,1320 
ha",10,"18 182 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-1100m2/155493182
"Praga-Południe, Gocławek",dom na sprzedaż 210m2,1 490 000 zł,"210 
m
2","0,0112 
ha",12,"7 095 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-210m2/155491973
"Wilanów, Spiralna",dom na sprzedaż 121m2,1 399 970 zł,"121 
m
2","0,0210 
ha",4,"11 570 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-spiralna-121m2/155490169
